count_deposit,count_borrow,count_repay,count_withdraw,count_liquidation,avg_deposit,avg_borrow,avg_repay,avg_withdraw,withdraw_to_depo,borrow_to_deposit,repay_to_borrow
1,0,0,0,0,1987.6616671976042,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,285.694194667298,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0.002576154024002081,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,17,0,0.0,0.0,0.0,115.33663747631458,1960722952.4339855,0.0,0.0
250,15,4,130,0,3701.962773032152,8690.38307104585,17537.561563294796,6338.750549818824,0.890379104318454,0.14085042149436522,0.5381447403029641
7,8,5,5,0,2627.237579824705,1453.9287195490756,2328.0555823133177,1871.123796088938,0.5087157262706614,0.6324638492306836,1.0007607858517216
8,0,0,0,0,0.015007905225925626,0.0,0.0,0.0,0.0,0.0,0.0
309,30,16,137,0,2176.374025092629,4494.613984820796,172.41788047590734,3702.741865965781,0.7543136940090862,0.20050335920668794,0.020459199813913306
1,0,0,0,0,0.14216052432092974,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,1.7666507371350018,0.0,0.0,0.0,0.0,0.0,0.0
26,24,9,10,0,30768.910130745557,24895.914036820886,66396.51260354817,80107.28569154507,1.0013515675991667,0.7468852066021222,1.0001116616381172
12,12,12,11,0,406359.48019557545,281763.8315238751,279251.11364402174,440062.69291305693,0.9926944603303708,0.6933856480675881,0.9910821844438078
86,62,45,57,0,24779.14539082562,20405.627742999313,27483.860492005355,36555.294548411206,0.9777782461266477,0.5936860932222192,0.9775716597937596
107,66,63,61,0,34664.16602785023,45119.13264385646,36042.61805109733,53909.66007698539,0.8866085144459801,0.8028606016907442,0.76252168956729
11,4,1,9,3,7079.22329453684,6189.740034936236,23151.251629563878,16631.04726205384,1.9221347025957591,0.3179465913938359,0.9350662895934403
1,0,0,0,0,1.6927526200247114,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,4,0,0.0,0.0,0.0,13375.356686946718,11842375103.207817,0.0,0.0
27,47,45,28,0,117157.07922212317,51104.08013582705,42762.893874316636,86500.40630146688,0.7656739612346816,0.7593135088302447,0.8011727477047348
1,0,0,1,0,466.1852958810936,0.0,0.0,465.5319344968306,0.998598492083227,0.0,0.0
1,0,0,0,0,1.1162171802490788,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,10,0,647.7402768333528,1257.9314000966358,0.0,1000.3426264385452,5.147857499310229,0.6473439448187861,0.0
9,6,7,7,0,140.6848534966756,189.44693915054054,62.23155755632802,35.34988261420348,0.19543222537564786,0.8977367727328383,0.3832391399340357
2,0,0,0,0,1.572878851562892,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,1.0022611721763075,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0.5056250519610304,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0,7122.691937208568,2946.590053409948,2946.9475530524533,7118.465158534857,0.9994065755320631,0.41369050900593163,1.0001213262231616
12,5,0,20,0,189.47660814256318,183.48052698011193,0.0,565.4983328315294,4.974213961259289,0.4034810904103435,0.0
1,0,0,1,0,1049.4924871572239,0.0,0.0,1049.4927220379195,1.0000002228512344,0.0,0.0
8,6,5,5,0,273.25573285121186,349.32111498823866,294.85338505055284,279.9843485544566,0.6403899711997398,0.9587752992551852,0.7033962498665582
2,3,1,4,0,497.0308215917119,168.55832388721316,543.4848620464583,333.9106298285552,1.343621085492065,0.5086957034721008,1.0634957219096224
1,1,0,0,0,2741.7566201923837,518.3122141132383,0.0,0.0,0.0,0.18904384514181488,0.0
2,1,1,2,0,17.697849891250115,22.653236534187545,22.653236534187545,17.697842812110157,0.9999995717480068,0.6399999819187171,0.9999999558562436
1,1,1,4,0,735.6865850119766,593.7605438542046,592.9524091687814,334.84699967861326,1.8205945570314586,0.8070835531647702,0.9986389535437714
1,0,0,0,0,1.0648515107048193,0.0,0.0,0.0,0.0,0.0,0.0
